SampleID,treatment,virus,genotype,ct,genome_size,x20x,x30x,perc_20x,perc_30x,genotype2,label.x,label.y
p1540-TCH15-167-AP,capture,huNoV,GII.6,24.5,7526.148148,7550,694,100.31691977796555,9.221184414027562,Other GII,p1540-TCH15-167-AP,p1540-TCH15-167-AP
p1540-TCH15-167-PM,capture,huNoV,GII.6,24.5,7526.148148,0,0,0,0,Other GII,NA,NA
p1540-TCH15-82-AP,capture,huNoV,GII.4,26.5,7526.148148,663,561,8.809287127522008,7.454012184826314,GII.4,NA,NA
p1630-723-100595,capture,huNoV,GI.1,26.3,7526.148148,7542,7536,100.21062370402863,100.13090164857594,GI.1,NA,NA
p1630-BCM16-1,capture,huNoV,GII.4,28.3,7526.148148,7539,7537,100.17076267630229,100.14418865781806,GII.4,NA,NA
p1630-BCM16-2,capture,huNoV,GII.4,25,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1630-BCM16-3,capture,huNoV,GII.4,25,7526.148148,7486,6971,99.46655118647021,92.62374142678117,GII.4,NA,NA
p1630-TCH07-194,capture,huNoV,GII.6,25.7,7526.148148,7513,66,99.82530043600731,0.8769426099795664,Other GII,NA,NA
p1630-TCH15-167,capture,huNoV,GII.6,22,7526.148148,7440,7440,98.85534876133293,98.85534876133293,Other GII,NA,NA
p1336-100034,pre_capture,huNoV,GI.1,26.86,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100035,pre_capture,huNoV,GI.1,24.67,7526.148148,4616,1173,61.33283466160119,15.585661841000475,GI.1,NA,NA
p1336-100038,pre_capture,huNoV,GI.1,31.78,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100042,pre_capture,huNoV,GI.1,24.24,7526.148148,250,6,3.3217523105286606,0.07972205545268785,GI.1,NA,NA
p1336-100126,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100135,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100195,pre_capture,huNoV,GI.1,20.91,7526.148148,7649,7649,101.63233369293489,101.63233369293489,GI.1,NA,NA
p1336-100197,pre_capture,huNoV,GI.1,25.01,7526.148148,7503,7453,99.69243034358615,99.02807988148042,GI.1,NA,NA
p1336-100209,pre_capture,huNoV,GI.1,30.8,7526.148148,7589,7577,100.83511313840802,100.67566902750265,GI.1,NA,NA
p1336-100215,pre_capture,huNoV,GI.1,32.0499999999999,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100316,pre_capture,huNoV,GII.4,30.14,7526.148148,0,0,0,0,GII.4,NA,NA
p1336-100319,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100496,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100513,pre_capture,huNoV,GI.1,23.89,7526.148148,1729,608,22.973238979616216,8.078501619205703,GI.1,NA,NA
p1336-100517,pre_capture,huNoV,GI.1,23.07,7526.148148,7445,7105,98.9217838075435,94.40420066522454,GI.1,NA,NA
p1336-100613,pre_capture,huNoV,GI.1,26.23,7526.148148,5243,2585,69.66378945640707,34.34691889086635,GI.1,NA,NA
p1336-100626,pre_capture,huNoV,GI.1,28.38,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100637,pre_capture,huNoV,GI.1,34.88,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100641,pre_capture,huNoV,GI.1,32.5499999999999,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100691,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100700,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100869,pre_capture,huNoV,GI.1,20.22,7526.148148,7528,7490,100.02460557463903,99.51969922343866,GI.1,NA,NA
p1336-100884,pre_capture,huNoV,GI.1,31.48,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-101015,pre_capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-101016,pre_capture,huNoV,GII.4,29.3,7526.148148,0,0,0,0,GII.4,NA,NA
p1336-101019,pre_capture,huNoV,GI.1,29.05,7526.148148,125,0,1.6608761552643303,0,GI.1,NA,NA
p1336-101022,pre_capture,huNoV,GI.1,34.2299999999999,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-101385,pre_capture,huNoV,GI.1,27.84,7526.148148,0,0,0,0,GI.1,NA,NA
p1540-1295-44-AP,pre_capture,huNoV,GII.17,21.5,7526.148148,19,0,0.2524531756001782,0,Other GII,NA,NA
p1540-723-100595-AP,pre_capture,huNoV,GI.1,30.5,7526.148148,0,0,0,0,GI.1,NA,NA
p1540-BCM16-1-AP,pre_capture,huNoV,GII.4,28.3,7526.148148,6979,0,92.73003750071808,0,GII.4,NA,NA
p1540-BCM16-16-AP,pre_capture,huNoV,GII.4,23.2,7526.148148,6625,0,88.0264362290095,0,GII.4,NA,NA
p1540-BCM16-2-AP,pre_capture,huNoV,GII.4,28.7,7526.148148,0,0,0,0,GII.4,NA,NA
p1540-BCM16-3-AP,pre_capture,huNoV,GII.4,29.1,7526.148148,7502,0,99.67914333434405,0,GII.4,NA,NA
p1540-BCM18-1-AP,pre_capture,huNoV,GII.6,31.3,7526.148148,16,0,0.21259214787383426,0,Other GII,NA,NA
p1540-BCM18-2-AP,pre_capture,huNoV,GII.6,29.7,7526.148148,14,0,0.186018129389605,0,Other GII,NA,NA
p1540-BCM18-4,pre_capture,huNoV,GII.4,30.4,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-BCM18-5-AP,pre_capture,huNoV,GII.6,34.5,7526.148148,0,0,0,0,Other GII,NA,NA
p1540-BTH19-9-PM,pre_capture,huNoV,GII.4,24.9,7526.148148,20,0,0.26574018484229284,0,GII.4,NA,NA
p1540-MDA09-1-AP,pre_capture,huNoV,GII.4,23,7526.148148,7380,0,98.05812820680606,0,GII.4,NA,NA
p1540-TCH-17-78-AP,pre_capture,huNoV,GII.6,29,7526.148148,0,0,0,0,Other GII,NA,NA
p1540-TCH02-186,pre_capture,huNoV,GII.4,33.6,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-TCH04-577-AP,pre_capture,huNoV,GII.3,25.5,7526.148148,7653,0,101.68548172990336,0,Other GII,NA,NA
p1540-TCH10-144,pre_capture,huNoV,GII.4,24.2,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-TCH10-188-AP,pre_capture,huNoV,GII.4,27.3,7526.148148,874,0,11.612846077608197,0,GII.4,NA,NA
p1540-TCH15-123-AP,pre_capture,huNoV,GII.4,23.5,7526.148148,7439,0,98.84206175209083,0,GII.4,NA,NA
p1540-TCH15-167-AP,pre_capture,huNoV,GII.6,24.5,7526.148148,3940,0,52.35081641393169,0,Other GII,NA,NA
p1540-TCH15-167-PM,pre_capture,huNoV,GII.6,24.5,7526.148148,19,0,0.2524531756001782,0,Other GII,NA,NA
p1540-TCH15-82-AP,pre_capture,huNoV,GII.4,26.5,7526.148148,242,0,3.215456236591743,0,GII.4,NA,NA
p1630-723-100595,pre_capture,huNoV,GI.1,26.3,7526.148148,313,0,4.158833892781883,0,GI.1,NA,NA
p1630-BCM16-1,pre_capture,huNoV,GII.4,28.3,7526.148148,26,0,0.3454622402949807,0,GII.4,NA,NA
p1630-BCM16-2,pre_capture,huNoV,GII.4,25,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1630-BCM16-3,pre_capture,huNoV,GII.4,25,7526.148148,19,0,0.2524531756001782,0,GII.4,NA,NA
p1630-TCH07-194,pre_capture,huNoV,GII.6,25.7,7526.148148,6063,2895,80.55913703494107,38.46589175592189,Other GII,NA,NA
p1630-TCH15-167,pre_capture,huNoV,GII.6,22,7526.148148,204,0,2.710549885391387,0,Other GII,NA,NA
p1442-3001727214,capture,RSV,RSV-A,28.3,15243.0814,15234,15234,99.94042280716286,99.94042280716286,RSV-A,NA,NA
p1442-3001753458,capture,RSV,RSV-A,26.3,15243.0814,15234,15234,99.94042280716286,99.94042280716286,RSV-A,NA,NA
p1442-3001753554,capture,RSV,RSV-A,29,15243.0814,15234,15234,99.94042280716286,99.94042280716286,RSV-A,NA,NA
p1442-3001753602,capture,RSV,RSV-A,28.6,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001753651,capture,RSV,RSV-B,24.3,15243.0814,15260,15260,100.11099199404656,100.11099199404656,RSV-B,NA,NA
p1442-3001753669,capture,RSV,RSV-B,29.1,15243.0814,15251,15251,100.05194881397144,100.05194881397144,RSV-B,NA,NA
p1442-3001753677,capture,RSV,RSV-A,28.5,15243.0814,15234,15234,99.94042280716286,99.94042280716286,RSV-A,NA,NA
p1442-3001753686,capture,RSV,RSV-A,25.4,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001753701,capture,RSV,RSV-B,25.1,15243.0814,15264,15264,100.13723340741329,100.13723340741329,RSV-B,NA,NA
p1442-3001753703,capture,RSV,RSV-B,25.7,15243.0814,15257,15257,100.09131093402152,100.09131093402152,RSV-B,NA,NA
p1442-3001753724,capture,RSV,RSV-A,28.6,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001753726,capture,RSV,RSV-A,25.4,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001753747,capture,RSV,RSV-A,22.2,15243.0814,15236,15236,99.95354351384623,99.95354351384623,RSV-A,NA,NA
p1442-3001753794,capture,RSV,RSV-A,26.5,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001962499,capture,RSV,RSV-A,29.9,15243.0814,15234,15234,99.94042280716286,99.94042280716286,RSV-A,NA,NA
p1442-3002215536,capture,RSV,RSV-B,20.7,15243.0814,15261,15261,100.11755234738824,100.11755234738824,RSV-B,NA,NA
p1442-3002215588,capture,RSV,RSV-B,21.5,15243.0814,15260,15260,100.11099199404656,100.11099199404656,RSV-B,NA,NA
p1442-3002215695,capture,RSV,RSV-B,18.3,15243.0814,15249,15249,100.03882810728808,100.03882810728808,RSV-B,NA,NA
p1442-3002780935,capture,RSV,RSV-B,20.9,15243.0814,15261,15261,100.11755234738824,100.11755234738824,RSV-B,NA,NA
p1442-3002780943,capture,RSV,RSV-B,19.5,15243.0814,15257,15257,100.09131093402152,100.09131093402152,RSV-B,NA,NA
p1442-3002781120,capture,RSV,RSV-B,26.1,15243.0814,15257,15257,100.09131093402152,100.09131093402152,RSV-B,NA,NA
p1442-3002781131,capture,RSV,RSV-A,24.9,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3002781133,capture,RSV,RSV-B,29.4,15243.0814,15248,15248,100.0322677539464,100.0322677539464,RSV-B,NA,NA
p1442-3002781210,capture,RSV,RSV-A,17.3,15243.0814,15235,15235,99.94698316050454,99.94698316050454,RSV-A,NA,NA
p1442-3001727214,pre_capture,RSV,RSV-A,28.3,15243.0814,0,0,0,0,RSV-A,NA,NA
p1442-3001753458,pre_capture,RSV,RSV-A,26.3,15243.0814,1,1,0.00656035334168064,0.00656035334168064,RSV-A,NA,NA
p1442-3001753554,pre_capture,RSV,RSV-A,29,15243.0814,2,2,0.01312070668336128,0.01312070668336128,RSV-A,NA,NA
p1442-3001753602,pre_capture,RSV,RSV-A,28.6,15243.0814,0,0,0,0,RSV-A,NA,NA
p1442-3001753677,pre_capture,RSV,RSV-A,28.5,15243.0814,96,96,0.6297939208013414,0.6297939208013414,RSV-A,NA,NA
p1442-3001753686,pre_capture,RSV,RSV-A,25.4,15243.0814,302,302,1.9812267091875533,1.9812267091875533,RSV-A,NA,NA
p1442-3001753724,pre_capture,RSV,RSV-A,28.6,15243.0814,0,0,0,0,RSV-A,NA,NA
p1442-3001753726,pre_capture,RSV,RSV-A,25.4,15243.0814,249,249,1.6335279820784794,1.6335279820784794,RSV-A,NA,NA
p1442-3001753747,pre_capture,RSV,RSV-A,22.2,15243.0814,2837,2837,18.611722430347974,18.611722430347974,RSV-A,NA,NA
p1442-3001753794,pre_capture,RSV,RSV-A,26.5,15243.0814,0,0,0,0,RSV-A,NA,NA
p1442-3001962499,pre_capture,RSV,RSV-A,29.9,15243.0814,0,0,0,0,RSV-A,NA,NA
p1442-3002781131,pre_capture,RSV,RSV-A,24.9,15243.0814,290,290,1.9025024690873855,1.9025024690873855,RSV-A,NA,NA
p1442-3002781210,pre_capture,RSV,RSV-A,17.3,15243.0814,14971,14971,98.21504987830086,98.21504987830086,RSV-A,NA,NA
p1442-3001753651,pre_capture,RSV,RSV-B,24.3,15243.0814,26,26,0.17056918688369663,0.17056918688369663,RSV-B,NA,NA
p1442-3001753669,pre_capture,RSV,RSV-B,29.1,15243.0814,19,19,0.12464671349193215,0.12464671349193215,RSV-B,NA,NA
p1442-3001753701,pre_capture,RSV,RSV-B,25.1,15243.0814,110,110,0.7216388675848704,0.7216388675848704,RSV-B,NA,NA
p1442-3001753703,pre_capture,RSV,RSV-B,25.7,15243.0814,31,31,0.20337095359209983,0.20337095359209983,RSV-B,NA,NA
p1442-3002215536,pre_capture,RSV,RSV-B,20.7,15243.0814,764,764,5.012109953044009,5.012109953044009,RSV-B,NA,NA
p1442-3002215588,pre_capture,RSV,RSV-B,21.5,15243.0814,1131,1131,7.4197596294408035,7.4197596294408035,RSV-B,NA,NA
p1442-3002215695,pre_capture,RSV,RSV-B,18.3,15243.0814,1303,1303,8.548140404209875,8.548140404209875,RSV-B,NA,NA
p1442-3002780935,pre_capture,RSV,RSV-B,20.9,15243.0814,6518,6518,42.76038308107441,42.76038308107441,RSV-B,NA,NA
p1442-3002780943,pre_capture,RSV,RSV-B,19.5,15243.0814,5348,5348,35.08476967130806,35.08476967130806,RSV-B,NA,NA
p1442-3002781120,pre_capture,RSV,RSV-B,26.1,15243.0814,0,0,0,0,RSV-B,NA,NA
p1442-3002781133,pre_capture,RSV,RSV-B,29.4,15243.0814,0,0,0,0,RSV-B,NA,NA
